% Tweet data
% This example was copied from Witten and Frank's data mining book

@relation category

@attribute tweet string
@attribute music {yes, no}

@data
'successful set enthusiastic crowd simi cajun blues festival', no
'love friend michigan well one worth share love anyway buy stuff iggy', no
'pat can please provide list legislative voting do regard veteran', no
'want color #mycoffeetable #andywarhol #art #clearmind', no
'sit lawn jaguar dealership watch erin question existentialism amazing thing ever witness', no
'suppose start unpack move everything room remember titans just start', no
'begin run be outta shape block lung now know be dead', no
'old man drunk crash hummer torrance pd give ride home #whiteprivilege', no
'shane patel name south pacific premier ambassador second year row', no
'surprise take disneyland last minute love mom disneyland', no
'way midwest bronyfest will please know now tornado just lot rain', no
'always boss whether like can see trouble year follow direction', no
'feel like heart rip chest stomp feel empty not know say really', no
'thing help talk nice able get thing brain sometimes', no
'rn orthopedic unit glendale adventist -lrb- #glendale ca -rrb- #nursing #job #jobs #hiring #careerarc', no
'ready long weekend anyone anything fun will just relax soak', no
'laptop decide make executive decision upgrade windows lovely', no
'baby come world onto teenager hope never go type bully ugh', no
'happy birthday baby boiii miss hit whip extra hard today', no
'long weekend use code md30 get sum summer rockin goods', no
'another collection #artdeco fan design see else new #artworkoftheday', no
'dad always hand phone speak family member have never meet', no
'life pretty damn good right now life good nothing else really matter', no
'game not even start be already cry boyfriend last game', no
'turn face time camera face ally just straight start laugh', no
'racist chinese detergent commercial will leave speechless -lsb- video -rsb- via #china #playofffinal #justwrong', no
'hate share secret go starbucks ralph rise theres never line take seconds make drink', no
'pee wee herman child house have wonder twenty year', no
'hope get helm x man movie rights can show do dont even need read comic watch t.v. show tf', no
'add coffee hazelnut creamer smoothie be literally heaven best thing have ever make', no
'professor say three point choose intense study really mean none result make sense', no
'procter gamble #sales #job senior mechanical warewash technician training -lrb- #losangeles ca -rrb- #veterans #jobs', no
'ha racist left call not leg stand benign overused word-salad top', no
'good thing often hard long feel best deep inside unseen', no
'spend memorial day weekend # 801hillsaturday guestlist table reservations', no
'be going go see alice xmen god bless geeky disney fanatic family', no
'dream little interesting lately get ta take less melatonin bed', no
'newcomer fear factor just throw stuff friend way thank', no
'jake bronder sexiest white man alive rn jake see sorry sleep many year gim call ever la', no
'ah handmade means sew whole thing hand homemade mean usually use machine be get term', no
'ask mom take somewhere says cousin ask say yes like actual fuck', no
'people need bring other self validation like super insecure weird', no
'not forget america go broke year ago one person get credit clear loan completely foregiven ford', no
'friend get yell shoulder show westlake guy allow wear shirt naked girl', no
'trump fraud now presume nominee ppl say promise just suggestion', no
'stepdad say room smell like shitty weed not even smoke', no
'happy get favorite treat today best bakery best customer service #vegan #vegantreats', no
'writer read comment get go allow comment inc rude comment', no
'five year since diagnosis 3.5 since dialysis be still go strong', no
'mother lose quadruplet brother think doom blessing horizon universe something else', no
'due traffic convention center trump rally port san diego shuttle may delay possibly stop closure', no
'day people ask highlighter be use usually day be just super sweaty', no
